what,kind,bundleId,bundleVersion,description,time
started,bundle,org.ebayopensource.vjet.extmod.rhino,1.0.0.201105122210,"org.ebayopensource.vjet.extmod.rhino",1315415554084
started,bundle,org.ebayopensource.vjet.core.jsnative,1.0.0.201105122210,"org.ebayopensource.vjet.core.jsnative",1315415554085
started,bundle,org.ebayopensource.vjet.core.ext,1.0.0.201105122210,"org.ebayopensource.vjet.core.ext",1315415554825
started,bundle,org.ebayopensource.vjet.resource.vjolib,1.0.0.201105122210,"org.ebayopensource.vjet.resource.vjolib",1315415554855
started,bundle,org.ebayopensource.vjet.core.jsgenshared,1.0.0.201105122210,"org.ebayopensource.vjet.core.jsgenshared",1315415554970
started,bundle,org.ebayopensource.vjet.eclipse.core,1.0.0.201105122210,"org.ebayopensource.vjet.eclipse.core",1315415555000
started,bundle,org.ebayopensource.vjet.eclipse.ui,1.0.0.201105122210,"org.ebayopensource.vjet.eclipse.ui",1315415555005
started,bundle,com.aptana.portal.ui,3.0.0.1299622686,"com.aptana.portal.ui",1315415555008
started,bundle,com.aptana.scripting,3.0.0.1304109758,"com.aptana.scripting",1315415555012
started,bundle,com.aptana.scripting.ui,3.0.0.1299727898,"com.aptana.scripting.ui",1315415555014
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1315415555031
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1315415555036
started,bundle,com.aptana.theme,3.0.0.1301324152,"com.aptana.theme",1315415555041
started,bundle,com.aptana.usage,3.0.0.1304109758,"com.aptana.usage",1315415555045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315415555959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315415562742
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315415570171
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1315415571131
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1315415571132
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1315415571133
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1315415571133
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1315415571134
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1315415571185
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1315415571201
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1315415571219
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1315415571256
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1315415571261
